Id,ActivityHour,date,time,Calories,TotalIntensity,AverageIntensity
1503960366,4/12/2016 0:00,4/12/2016,12:00:00 AM,81,20,0.333333
1503960366,4/12/2016 1:00,4/12/2016,1:00:00 AM,61,8,0.133333
1503960366,4/12/2016 2:00,4/12/2016,2:00:00 AM,59,7,0.116667
1503960366,4/12/2016 3:00,4/12/2016,3:00:00 AM,47,0,0
1503960366,4/12/2016 4:00,4/12/2016,4:00:00 AM,48,0,0
1503960366,4/12/2016 5:00,4/12/2016,5:00:00 AM,48,0,0
1503960366,4/12/2016 6:00,4/12/2016,6:00:00 AM,48,0,0
1503960366,4/12/2016 7:00,4/12/2016,7:00:00 AM,47,0,0
1503960366,4/12/2016 8:00,4/12/2016,8:00:00 AM,68,13,0.216667
1503960366,4/12/2016 9:00,4/12/2016,9:00:00 AM,141,30,0.5
1503960366,4/12/2016 10:00,4/12/2016,10:00:00 AM,99,29,0.483333
1503960366,4/12/2016 11:00,4/12/2016,11:00:00 AM,76,12,0.2
1503960366,4/12/2016 12:00,4/12/2016,12:00:00 PM,73,11,0.183333
1503960366,4/12/2016 13:00,4/12/2016,1:00:00 PM,66,6,0.1
1503960366,4/12/2016 14:00,4/12/2016,2:00:00 PM,110,36,0.6
1503960366,4/12/2016 15:00,4/12/2016,3:00:00 PM,151,58,0.966667
1503960366,4/12/2016 16:00,4/12/2016,4:00:00 PM,76,13,0.216667
1503960366,4/12/2016 17:00,4/12/2016,5:00:00 PM,83,16,0.266667
1503960366,4/12/2016 18:00,4/12/2016,6:00:00 PM,124,29,0.483333
1503960366,4/12/2016 19:00,4/12/2016,7:00:00 PM,104,39,0.65
1503960366,4/12/2016 20:00,4/12/2016,8:00:00 PM,132,41,0.683333
1503960366,4/12/2016 21:00,4/12/2016,9:00:00 PM,100,31,0.516667
1503960366,4/12/2016 22:00,4/12/2016,10:00:00 PM,65,9,0.15
1503960366,4/12/2016 23:00,4/12/2016,11:00:00 PM,81,21,0.35
1503960366,4/13/2016 0:00,4/13/2016,12:00:00 AM,69,14,0.233333
1503960366,4/13/2016 1:00,4/13/2016,1:00:00 AM,48,0,0
1503960366,4/13/2016 2:00,4/13/2016,2:00:00 AM,47,0,0
1503960366,4/13/2016 3:00,4/13/2016,3:00:00 AM,53,4,0.066667
